,Title,Video ID,Published At,Keyword,Likes,Comments,Views
15,Why Millennials Are Leaving Six-Figure Tech Jobs,N88OE2ZCHBM,2021-06-04,tech,26890.0,4999.0,1633059.0
16,10 Coolest Gadgets and Inventions That Will Blow Your Mind,PKATJiyz0iI,2021-08-13,tech,9562.0,199.0,760249.0
17,17 Coolest Gadgets You Can Actually Buy,qiMnSaZWf3M,2022-07-21,tech,11743.0,143.0,1086568.0
18,Almost EVERYONE is Wasting Money on Dash Cams.,4AnyhHl3_tE,2022-08-14,tech,146978.0,11105.0,3186890.0
19,I bought the THINNEST Tech in the world.,nmY2kgWYwyQ,2022-03-25,tech,363771.0,13609.0,11422924.0
20,iPhone 14 Lineup is NOT what you Expected.. (plot twist),HMqyLcNmsec,2022-08-24,tech,2117.0,486.0,63650.0
21,Doctor Answers Gut Questions From Twitter | Tech Support | WIRED,Q2ysbTVlPdk,2022-05-12,tech,42841.0,1357.0,1280387.0
22,Cool Tech Under $50 - July!,zI8KQq5zmyM,2022-07-02,tech,23689.0,2842.0,530889.0
23,Wolfgang Puck Answers Restaurant Questions From Twitter | Tech Support | WIRED,iEAlq1GPgnc,2021-06-18,tech,55231.0,2175.0,2122433.0
24,Battle Of The Tech - Super Bike Vs World Superbike,IHnhSxizVOA,2022-07-31,tech,1289.0,183.0,35948.0
25,OnePlus 10R vs 10T | Unboxing &amp; Comparison,Ql1-RZ2FUrc,2022-08-24,tech,970.0,207.0,23175.0
26,Tech Hiring Slowdown: What’s Different This Time? | Tech News Briefing Podcast | WSJ,Fpof56HU6SY,2022-08-10,tech,1608.0,273.0,78520.0
27,10 New Tech Gadgets 2022 | You Can Buy Right Now,bbbQ_X45FaA,2022-05-27,tech,1452.0,38.0,63599.0
28,Taste Expert Answers Questions From Twitter | Tech Support | WIRED,MtMkU-1p7-0,2022-06-03,tech,35758.0,2056.0,1006704.0
29,Audiologist Answers Hearing Questions From Twitter | Tech Support | WIRED,QYlXL_8ei6g,2022-08-19,tech,8725.0,790.0,257848.0
30,James Dyson Answers Design Questions From Twitter | Tech Support | WIRED,zFCFe38EIfE,2021-11-30,tech,110145.0,3289.0,2954979.0
31,My Massive Tech Unboxing 46.0!,LOrkbagIpiY,2022-05-28,tech,12188.0,326.0,304037.0
32,Cool Tech Under $50 - April!,UK5OHUmIgcc,2022-04-02,tech,59458.0,4159.0,1541386.0
33,15 Emerging Technologies That Will Change Our World,My2Tr3k1liw,2022-05-14,tech,3494.0,136.0,589007.0
34,Veterinarian Answers Pet Questions From Twitter | Tech Support | WIRED,IUwqf08-FKU,2022-05-05,tech,36423.0,1902.0,1085076.0
35,What Is The Best Position For Descending? | GCN Tech Clinic,U48UrDpXGog,2022-08-24,tech,941.0,221.0,25594.0
36,My Everyday Tech: 2022!,-pTGc7cIBIA,2022-01-07,tech,134194.0,6102.0,4098623.0
37,INVENTIONS OF THE FUTURE THAT WILL SOON BE AVAILABLE TO EVERYONE,_f8Gb-vojoU,2022-03-16,tech,42075.0,1820.0,7188648.0
38,"Twitter Whistleblower Accuses Company of Privacy, Security Issues | Tech News Briefing Podcast | WSJ",MAeXrShneoQ,2022-08-24,tech,709.0,128.0,25745.0
39,"I Did a Terrible Job of This - Intel $5,000 Extreme Tech Upgrade",AREK4H8k7Ng,2022-07-23,tech,78852.0,3926.0,1889567.0
40,Cool Tech Under $50 - June!,B0HI0RTZdJw,2022-06-04,tech,32102.0,3243.0,786765.0
41,18 DEADLY Tech Fails that need to be BANNED.,Wuq7lS9rljw,2022-07-02,tech,188623.0,7464.0,4195072.0
42,I bought the BIGGEST Tech in the world.,VuG4BcghOSg,2021-12-04,tech,343227.0,20854.0,9618335.0
43,Neil Gaiman Answers Mythology Questions From Twitter | Tech Support | WIRED,o-jUQhCeazQ,2022-08-04,tech,43960.0,1767.0,791624.0
44,Sushi Chef Answers Sushi Questions From Twitter | Tech Support | WIRED,-ju6y-pHByw,2022-05-26,tech,77411.0,2098.0,2474364.0
45,Futurum Research&#39;s Daniel Newman breaks down tech stocks to watch,-VVLmBXHvL8,2022-08-24,tech,24.0,45.0,3461.0
46,My Favorite Tech of the Month!,UxjgqBamqDU,2022-07-30,tech,4492.0,169.0,274201.0
47,Paleontologist Answers Dinosaur Questions From Twitter | Tech Support | WIRED,YvZPU-KBCiQ,2022-06-08,tech,51846.0,2371.0,1156785.0
48,How Biden&#39;s student loan forgiveness program will work,--ixiTypG8g,2022-08-24,news,1029.0,2347.0,97434.0
49,Primary results in New York and Florida hold national implications for Democrats,4RkfqEWK2FI,2022-08-24,news,534.0,538.0,57858.0
50,Ex-CIA director predicts what&#39;s next in Russia-Ukraine war,GK8CFuXExLw,2022-08-24,news,8526.0,3934.0,544884.0
51,President Zelenskyy promises victory over Russia on Ukrainian Independence Day,95MMQzBkE30,2022-08-24,news,588.0,887.0,69951.0
52,"6 months later, what&#39;s next in the Ukraine war? l ABC News",nv7owOSprnI,2022-08-24,news,137.0,222.0,18531.0
53,More than 700 pages of classified documents found at Mar-a-Lago,rqbFOOt1q9M,2022-08-24,news,848.0,1384.0,86855.0
54,Nadler Celebrates Win In New York House Primary,_XFJpfSFcpU,2022-08-24,news,827.0,1653.0,131012.0
55,Biden Announces Plan For Federal Student Loan Debt Relief,fNHmQdrlIZE,2022-08-24,news,1200.0,2841.0,54596.0
56,Morning News NOW Full Broadcast - Aug. 23,zvS8Fmxv1_U,2022-08-23,news,1167.0,180.0,235019.0
57,Biden plans to forgive $300 billion in student loan debt: Report,OTFKyW-vc_Y,2022-08-24,news,1573.0,2670.0,60528.0
58,ABC News Live: Trump files motion to bar review of materials seized from Mar-a-Lago,IH3DYzS4MdI,2022-08-23,news,1145.0,793.0,106127.0
59,More than 100 classified Trump docs recovered from Mar-a-Lago in January,q7sXUpqA_X4,2022-08-23,news,474.0,1553.0,75301.0
60,"National Shutdown | Workers hit the streets over rising cost of living: Pretoria, GP",NS-9bd2hOOQ,2022-08-24,news,82.0,26.0,17145.0
61,JORNAL DA MANHÃ - 24/08/2022,0IH09JBETbI,2022-08-24,news,23828.0,47.0,500097.0
62,Trump legal team trying to stop Department of Justice from reviewing records seized from Mar-a-Lago,lX3EBSNjPII,2022-08-23,news,775.0,1517.0,127082.0
63,Netanyahu: This will make the Middle East a nuclear powder keg,Tey5qEth4oA,2022-08-24,news,8484.0,2192.0,237313.0
64,Nightly News Full Broadcast - Aug. 19,L5p4Nov0KkU,2022-08-20,news,7946.0,1559.0,905023.0
65,"Americans Are Angry And Worried About U.S. Future, New NBC News Poll Shows",MSTmUJU48g4,2022-08-21,news,510.0,560.0,34715.0
66,Breaking News: Jharkhand के CM Hemant Soren के करीबी पर ED ने कसी नकेल | Prem Prakash | Ranchi News,Sdm1WsGGU0w,2022-08-24,news,129.0,7.0,10642.0
67,Zee Hindustan Live News: Attack On Nitish Kumar Convoy | Bihar News | Tejashwi Yadav |Bihar Politics,XHKojSQxTs0,2022-08-24,news,1288.0,3.0,172513.0
68,【ライブ】最新ニュース：ウクライナ侵攻から半年/ロシア軍ミサイル攻撃の可能性/プーチン氏に近い思想家の娘 爆発死/サルVS山羊/渋谷ホテルで火災/母娘刺傷続報　など（日テレNEWSLIVE）,voU9-39bicg,2022-08-24,news,257.0,1.0,62189.0
69,අද දෙරණ 6.55 ප්‍රධාන පුවත් විකාශය -  2022.08.24| Ada Derana Prime Time News Bulletin,88w5Q03Lcro,2022-08-24,news,612.0,18.0,60835.0
70,"Najib ke penjara, Mahkamah Persekutuan kekal sabitan",B0ga0OUkb9c,2022-08-23,news,2385.0,1349.0,288722.0
71,Deadly car bomb detonates outside Moscow,--hxd1CrOqg,2022-08-22,news,6379.0,4853.0,808787.0
72,Jail for Najib as Federal Court upholds ex-PM’s conviction,o3TQPM5OkEU,2022-08-23,news,1009.0,451.0,127803.0
73,Potential mass shooting foiled in Washington state,lHDn25SLgdk,2022-08-22,news,5630.0,1848.0,533947.0
74,🔴 හිරු රාත්‍රී 6.55 ප්‍රධාන ප්‍රවෘත්ති ප්‍රකාශය - Hiru TV NEWS 6:55 PM Live | 2022-08-24,kSKxCN8M-WE,2022-08-24,news,686.0,18.0,56683.0
75,Nightly News Full Broadcast - Aug. 18,fHCk3o_5l7o,2022-08-19,news,7277.0,1294.0,796750.0
76,Morning News NOW Full Broadcast - Aug. 19,8NL6YyEW2ww,2022-08-19,news,695.0,121.0,159877.0
77,Ukraine&#39;s Crimean fightback having &#39;psychological impact&#39; on Russia - BBC News,uDSR4wV_zno,2022-08-20,news,15854.0,5373.0,1465011.0
78,"Dobol B TV Livestream: August 22, 2022 - Replay",f2TK2lpFFzs,2022-08-22,news,1030.0,10.0,187892.0
79,🔴 Live at 8 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24,8Vqj8Ls29HI,2022-08-24,news,198.0,12.0,17763.0
80,Nightly News Full Broadcast - Aug. 17,uVmNImDu0rQ,2022-08-18,news,7342.0,1531.0,932432.0
81,UP News: कहा गायब हो गया Abbas Ansari ? 7 राज्यों में पुलिस की आधा दर्जन टीमें कर रही तलाश,_JGrWrwOoD8,2022-08-23,news,286.0,22.0,23135.0
82,Daughter of Russian ultra-nationalist killed in suspected car bomb attack,hPy7QFsTaLw,2022-08-21,news,2083.0,2195.0,164119.0
83,18 Million Under Flood Alerts Nationwide,s-XXxzZCkLg,2022-08-21,news,1728.0,665.0,212973.0
84,🔴 Live at 12 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24,bLHeJmGUyWQ,2022-08-24,news,180.0,16.0,13976.0
85,"Inside the war in Ukraine, 6 months since Russia invaded",h4VjpOOWzZ0,2022-08-21,news,1102.0,668.0,106690.0
86,"T. Raja Singh News: T. Raja Singh को जमानत मिली, टी राजा ने दिया था विवादित बयान| Latest News",CBNHQyXOcjE,2022-08-23,news,1688.0,796.0,89985.0
87,Why Netflix is Now Making Video Games,Ccc0GvjuqkQ,2022-08-23,gaming,8384.0,1307.0,176151.0
88,My New House Gaming Setup is SICK!,4mgePWWCAmA,2022-08-23,gaming,63825.0,3338.0,1564007.0
89,ROBLOX ATHLETES TYCOON,wXjxEphvceM,2022-08-24,gaming,4163.0,618.0,133933.0
90,Naik Wahana Roller Coaster! - Runner Coaster,iRxsHyRJnnQ,2022-08-24,gaming,2925.0,121.0,99244.0
91,I OPENED MY OWN ARCADE SHOP,WBK2_lD7KGA,2022-08-24,gaming,298406.0,15609.0,3773387.0
92,[VOD 7] DU SANG ET DES CRÂNES ! Campagne légendaire Valkia sur Immortal Empire,RRaznaiwf9A,2022-08-24,gaming,549.0,29.0,16307.0
93,What in FORTNITE is DRAGON BALL Z?! (Quests) K-CITY GAMING,YeqhIN6Dg_U,2022-08-22,gaming,2170.0,282.0,126228.0
94,"Tonnenweise GANZ NEUE Games, Monkey Island 5 Release uvm. - Opening Night Live | gamescom 2022",4ndP7aEL48w,2022-08-23,gaming,1365.0,256.0,46436.0
95,Free Fire | Bất Ngờ Nhận FREE 900 Kim Cương Mua Đồ Cực Ngon - Garena Hứa Sẽ Sửa Vòng Quay Ma Thuật,aVYgohhJTwo,2022-08-24,gaming,3516.0,306.0,121644.0
96,10 Infuriating Ways Video Games Stopped You From Getting 100%,t3L2dLPzvrM,2022-08-24,gaming,2481.0,429.0,67444.0
97,Farming Simulator 22 #13 - Khi Xe Bán Tải Chở Quá Tải !!,UZFeOxoRe8g,2022-08-24,gaming,2501.0,193.0,84565.0
98,Secret Hidden Oven Entrance to Epic GAMING FORT!,PyUwWSrFy5E,2022-08-20,gaming,82449.0,2673.0,2007038.0
99,🔥Artistic Music Mix 2022: Top 50 Songs ♫ Best NCS Gaming Music ♫ Best Of EDM Remixes 2022,GiHBWPRybpw,2022-08-24,gaming,1243.0,21.0,5967.0
100,"Free Fire | We Got Level 1 Ghost Id 😨With 9999 Badges😍 Wasting 10,000 Diamonds 💎-Garena Free Fire",wRWhpXAMrLQ,2022-08-24,gaming,48710.0,3417.0,552256.0
101,gaming in the future,zJJ7JiG2Lvw,2022-08-24,gaming,29966.0,471.0,205943.0
102,The *DESTINY* Challenge in Fortnite!,f-vwWjR_3JY,2022-08-24,gaming,15842.0,1547.0,530763.0
103,7 Reasons The Gaming Industry Is Broken,gYvCj3EufhA,2022-08-24,gaming,3374.0,741.0,82874.0
104,GTA 5 CAN CHOP COMPLETE THIS INSANE IMPOSSIBLE STUNT RACE,0aSjii_bpUc,2022-08-24,gaming,8260.0,195.0,191777.0
105,🎧 FOLLOW ME ON LOCO | ACHANAK BAYANAK GAMING,-ymEXN_zeR4,2022-08-24,gaming,1525.0,36.0,14877.0
106,Finally Improved it ! Lenovo Ideapad Gaming 3 2022 |  i5 12th gen RTX 3050,i2tzQ0RUm6Q,2022-08-24,gaming,468.0,164.0,10351.0
107,NO STREAM FOR 3 DAYS | KYA AAJ 35 KILLS HONGE | GODL LoLzZz | BGMI LIVE,HN-EAqkxYLo,2022-08-23,gaming,18208.0,44.0,228095.0
108,🔴SHORT STREAM OR WHAT??😱| BGMI LIVE,514QAJMYHus,2022-08-24,gaming,3171.0,5.0,19693.0
109,GTA 5 ONLINE : RAMP BUGGY VS DRAUGUR (WHICH IS BEST OFF ROAD VEHICLE?),KO9XkCtJ8Ds,2022-08-23,gaming,1204.0,135.0,27564.0
110,Mylta Power Station Long drive &amp; Night Food Party Vlog | RON GAMING VLOGS,9BFPMqT4twI,2022-08-23,gaming,10556.0,466.0,66633.0
111,ASMR Gaming 😴 Fortnite Tryhard Squad Win! Relaxing Gum Chewing 🎮🎧 Controller Sounds 💤,fT3XZ_lrUp8,2022-08-22,gaming,869.0,155.0,22860.0
112,15 Graphically MIND-BLOWING Games of 2022,2MTmULlJIJE,2022-01-18,gaming,13492.0,707.0,879645.0
113,RP ගේ පේජ් එකට මොකද උනේ 😥 | අලුත් පේජ් එක | Rp gaming,meUhoYdG0rM,2022-08-24,gaming,358.0,23.0,2386.0
114,The FIRST 42-inch OLED Gaming Monitor - PG42UQ,f-OUonH08fo,2022-08-23,gaming,2677.0,485.0,65005.0
115,Gaming Memes Only True Gamers Understand 84 #Memes #shorts,i_n68sBUTow,2022-08-23,gaming,39872.0,187.0,246407.0
116,اصعب لعبة جوال تخليك تعصب ضحك وتحشيش,RnpJZLc7WtQ,2022-08-22,gaming,46642.0,1287.0,268946.0
117,"TOP 5 BEST GAMING PHONE UNDER 15,000/- RS FOR PUBG &amp; BGMI | GAMING PHONE UNDER 15k FOR PUBG &amp; BGMI",grQ_zwR1giM,2022-08-24,gaming,674.0,93.0,5931.0
118,Si SQUIDWARD At Si DREAM Nandito Sa ROBLOX BACKROOM MORPHS!!?,U2ammRwQ20Y,2022-08-22,gaming,3495.0,202.0,226258.0
119,New PS4 &amp; PS5 Games This Week,-my0r8QrgiQ,2022-08-23,gaming,789.0,77.0,19223.0
120,GTA 5 : WHO KIDNAPPED TREVOR | GTA 5 BANGLA GAMEPLAY #77 | GAMING FUN TIPS,qR12rWDMjls,2022-08-24,gaming,3273.0,472.0,31837.0
121,I CAUGHT KARL the Haunted Car in The Long Drive Mods?!,dC7EnOoJRrs,2022-08-23,gaming,4484.0,459.0,97946.0
122,This Budget Gaming Laptop Can’t Be Beat!,tN0O_MQkF10,2022-08-22,gaming,2700.0,279.0,70186.0
123,PlayStation 5 Review: Next Gen Gaming!,MepGo2xmVJw,2020-11-14,gaming,238193.0,14706.0,7132206.0
124,The Story of Super Mario World | Gaming Historian,s2bTQK6vbKI,2022-05-06,gaming,71905.0,6315.0,2381931.0
125,PESA HO TO KIA KUCH NAHI HO SAKTA | GTA 5 | SHADOW GAMING,pfwR_wD53wU,2022-08-24,gaming,9574.0,537.0,87891.0
126,Roblox - BẤT NGỜ KHI GAME NARUTO CÓ SỨC MẠNH TRÁI ÁC QUỶ HITO MODEL NIKA CỦA LUFFY - Shindo Life,dzptw7d8QI8,2022-08-22,gaming,1215.0,100.0,64958.0
127,Rich Gamer Vs Broke Gamer,hXKhM_taHJ4,2022-08-23,gaming,11797.0,519.0,364725.0
128,Music Mix 2022 🎧 EDM Remixes of Popular Songs 🎧 EDM Gaming Music Mix ​,gTUkevqZXKY,2022-08-22,gaming,2750.0,116.0,208701.0
129,ASMR Gaming 😴 Fortnite 1 Kill = 1 Trigger Relaxing Mouth Sounds 🎮🎧 Controller Sounds + Whispering 💤,mqc6QqoGNWI,2022-08-24,gaming,563.0,85.0,14537.0
130,1000 IQ Moments in Sports,AqvyzO3IPXc,2022-03-31,sports,39944.0,1677.0,5093587.0
131,Chelsea v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 8/14/2022 | NBC Sports,0RiGydlyTcM,2022-08-14,sports,19987.0,2358.0,1335282.0
132,Beach Bunny - Sports (Official Audio),szeXkBYq5HU,2018-01-09,sports,275577.0,5431.0,15040548.0
133,Team USA SHOCKS JAMAICA for women&#39;s 4x100 world title | NBC Sports,MnCilaL_3yo,2022-07-24,sports,62969.0,9809.0,4288833.0
134,Craziest &quot;You Have to See It to Believe It&quot; Moments in Sports History,jxlygT8QMGM,2022-04-18,sports,12785.0,489.0,1945140.0
135,All Sports Baseball Battle | Dude Perfect,dwV04XuiWq4,2019-04-22,sports,778342.0,20737.0,57369066.0
136,Impossible Moments in Sports,YaVp_xXotxo,2021-06-20,sports,56480.0,2515.0,12272628.0
137,Manchester United v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 8/22/2022 | NBC Sports,0AjSt2I4Vj4,2022-08-22,sports,23668.0,2290.0,1499121.0
138,Top 100 Sports Plays of the Decade | 2010 - 2019 Best Moments,_eaK4DIxB5s,2019-12-22,sports,102369.0,10191.0,16099483.0
139,Craziest &quot;Karma/Revenge&quot; Moments in Sports History,kwuIWZ9wRmw,2021-08-06,sports,60821.0,2638.0,12867358.0
140,All Sports Golf Battle at The Masters,heIKaaamvdc,2022-04-02,sports,355223.0,6889.0,11181957.0
141,Bournemouth v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 8/20/2022 | NBC Sports,ftb3nlM9gKU,2022-08-20,sports,7866.0,550.0,619006.0
142,High IQ Moments in Sports,AbnjSelQYV8,2021-08-30,sports,84728.0,1451.0,10909239.0
143,Liverpool v. Crystal Palace | PREMIER LEAGUE HIGHLIGHTS | 8/15/2022 | NBC Sports,vqRZ8z1MU3o,2022-08-16,sports,6920.0,640.0,665643.0
144,Impossible Sports Moments,jzJW0gTYB9k,2022-02-22,sports,22479.0,299.0,2020370.0
145,Best Of Boxing 2021 | Full Episode | SHOWTIME SPORTS,YClWEHi6mzY,2022-01-02,sports,6568.0,591.0,592998.0
146,Craziest &quot;1 in a Trillion&quot; Moments in Sports History,RxhDx1gpoeo,2021-08-09,sports,127971.0,3938.0,20647398.0
147,Newcastle United v. Manchester City | PREMIER LEAGUE HIGHLIGHTS | 8/21/2022 | NBC Sports,B6HQSEz2ZDg,2022-08-21,sports,11805.0,1116.0,961317.0
148,All Sports Trick Shots | Dude Perfect,bIDKhZ_4jLQ,2019-10-07,sports,601464.0,23466.0,27922929.0
149,Greatest World Records in Sport History,v3m_DlYSJOA,2020-10-03,sports,241605.0,6650.0,31518906.0
150,Kentucky Derby 2022 (FULL RACE) | NBC Sports,wIYD42DV3Ro,2022-05-07,sports,39999.0,6387.0,5683239.0
151,20 TIMES SPORTS FANS TOOK IT WAY TOO FAR,_6akkGVr2zs,2021-01-08,sports,33316.0,1335.0,7795119.0
152,Craziest &quot;Deadly Fall&quot; Moments in Sports History,U7bNzl0HepU,2021-10-24,sports,14899.0,637.0,1836457.0
153,Top 100 Best Sports Bloopers 2020,yaGkToO1eHo,2020-12-28,sports,25347.0,385.0,9444655.0
154,Leeds United v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 8/21/2022 | NBC Sports,dCMJqrAHgkc,2022-08-21,sports,11898.0,1330.0,901368.0
155,Reactions after Manchester United take down Liverpool | Premier League | NBC Sports,cjTV-uyMKbc,2022-08-23,sports,1096.0,178.0,106597.0
156,Tottenham Hotspur v. Wolves | PREMIER LEAGUE HIGHLIGHTS | 8/20/2022 | NBC Sports,Q99TxKPzLkc,2022-08-20,sports,6325.0,391.0,573655.0
157,All Sports Golf Battle 2 | Dude Perfect,-RmUADCWI4A,2017-12-04,sports,867074.0,43024.0,106014469.0
158,Manchester City v. Bournemouth | PREMIER LEAGUE HIGHLIGHTS | 8/13/2022 | NBC Sports,WZKPK1a8w90,2022-08-13,sports,6946.0,481.0,647117.0
159,The Most Controversial Player in Sports,Kcne0vP4NNE,2021-09-21,sports,51562.0,8289.0,4282206.0
160,1 IN A TRILLION MOMENTS IN SPORTS,3fT5K2SIXDQ,2022-06-12,sports,31796.0,555.0,6134948.0
161,BIGGEST Winners &amp; Losers From Friday&#39;s NFL Preseason Slate I CBS Sports HQ,VAe6ZDhwZ0c,2022-08-20,sports,46.0,6.0,2219.0
162,Viagra Boys - Sports (Official Video),QjL7D33xpS4,2018-08-13,sports,149084.0,3901.0,4820297.0
163,Manchester United v. Liverpool LIVE postgame Q&amp;A | Premier League | NBC Sports,BZIfU09QOJY,2022-08-22,sports,191.0,35.0,27378.0
164,Canadian Ultimate Championships Juniors: Open Final | Ultimate Frisbee | CBC Sports,ETsM6CGZ0_Y,2022-08-24,sports,38.0,1.0,4114.0
165,Nintendo Switch Sports - Overview Trailer - Nintendo Switch,tiwjvBSS_Wk,2022-03-31,sports,32772.0,4597.0,1194578.0
166,"Funniest Sports Moments of the Year 2021 | Crazy Fan Moments, Epic Fails &amp; Blunders",JsOL9GBAugY,2021-12-26,sports,2584.0,57.0,1051751.0
167,The NFL Experience with Kai Nacua and Tyler Allgeier | BYU Sports Nation Full Episode 8.23.22,ARnERQncs0I,2022-08-23,sports,15.0,1.0,867.0
168,Craziest &quot;Thinking outside the Box&quot; Moments in Sports History,szlhtejAMyM,2021-10-05,sports,132236.0,3715.0,15110047.0
169,Caicedo? Pulisic? Casemiro? | Who are Manchester United interested in signing? ✍️🔴,x64iroHxmsc,2022-08-18,sports,3991.0,820.0,269716.0
170,West Ham United v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 8/21/2022 | NBC Sports,rVcwYxqupxw,2022-08-21,sports,2192.0,144.0,230945.0
171,&quot;They can ******* play football…sorry&quot;😅 | Erik ten Hag reacts to his first Manchester United win,G8cramghuZ8,2022-08-22,sports,54006.0,3508.0,2699810.0
172,&quot;WE DONE IT BABY! 🇬🇧🇯🇲🏆 EPIC POST-FIGHT SCENES as Leon Edwards Becomes UFC Welterweight Champion,90xB3D-UYd4,2022-08-21,sports,14293.0,2114.0,577426.0
173,Reactions after Arsenal cruise past Bournemouth | Premier League | NBC Sports,7nMB5YvZ8Ak,2022-08-20,sports,1121.0,91.0,65057.0
174,Sports Car Giant Test 2022 – Ferrari vs Porsche vs McLaren &amp; more! | CAR magazine (4K),YWY5zWR5HrY,2022-08-15,sports,1941.0,401.0,83228.0
175,Most Embarrassing Moments in Sports - Funniest Moments in Sports History,MRdkdIfkBJ8,2022-05-31,sports,15872.0,156.0,4290144.0
176,Fulham v. Brentford | PREMIER LEAGUE HIGHLIGHTS | 8/20/2022 | NBC Sports,UtgnaBDIcNo,2022-08-20,sports,2807.0,194.0,203084.0
177,20 MUST SEE SPORTS MOMENTS,1_r0mhnxGN0,2020-06-14,sports,22288.0,451.0,11666184.0
178,Arsenal v. Leicester City | PREMIER LEAGUE HIGHLIGHTS | 8/13/2022 | NBC Sports,0dW3d3taopc,2022-08-13,sports,10119.0,664.0,891548.0
179,How To Make a McDonald&#39;s Cheeseburger,SvOx7tA_Cv8,2022-07-04,how-to,135155.0,11354.0,2361410.0
180,How to Beat the SMART FISH in COLD SKIN,RIbMoJouce8,2022-08-23,how-to,14408.0,864.0,275924.0
181,How to Get Your Brain to Focus | Chris Bailey | TEDxManchester,Hu4Yvq-g7_Y,2019-04-05,how-to,315980.0,6186.0,13176819.0
182,How To Make Every Sushi | Method Mastery | Epicurious,ZzLPUoetSHw,2022-07-21,how-to,44809.0,660.0,1341953.0
183,COMMON LIVING ROOM DESIGN MISTAKES + HOW TO FIX THEM,LWxUb_dwd-0,2021-12-12,how-to,22532.0,198.0,443909.0
184,Body Language Expert Explains How to Show Confidence | WIRED,VRJzvJ5XPQI,2021-10-18,how-to,295514.0,5266.0,8378324.0
185,Former FBI Agent Explains How to Read Body Language | Tradecraft | WIRED,4jwUXV4QaTw,2019-05-21,how-to,1165120.0,40435.0,44943014.0
186,Alexa Chung Learns How To Dress The French Way | ALEXACHUNG,ZRjKX1-ilwo,2019-10-11,how-to,136929.0,3323.0,5249373.0
187,How to Write Less but Say More | Jim VandeHei | TED,v6BmurUpiN0,2022-08-22,how-to,2048.0,193.0,58330.0
188,How to gain control of your free time | Laura Vanderkam,n3kNlFMXslo,2017-02-07,how-to,169217.0,2295.0,7370713.0
189,How to Deal with Difficult People | Jay Johnson | TEDxLivoniaCCLibrary,kARkOdRHaj8,2018-10-18,how-to,56460.0,2118.0,3745331.0
190,How to Raise Successful Kids -- Without Over-Parenting | Julie Lythcott-Haims | TED,CyElHdaqkjo,2016-10-04,how-to,78076.0,1822.0,2947659.0
191,How To Beat EVERY DEATH GAME In &quot;Die Now&quot;,joAOl1CVlpE,2022-07-31,how-to,28603.0,1300.0,855958.0
192,How To Fix a Water Damaged Laptop,115amzVdV44,2020-08-18,how-to,910553.0,81975.0,52061447.0
193,How to Levitate,z2I5J1ArmeM,2020-11-07,how-to,49642.0,1589.0,3750968.0
194,How To BRAINWASH Yourself For Success &amp; Destroy NEGATIVE THOUGHTS! | Dr. Joe Dispenza,La9oLLoI5Rc,2018-06-12,how-to,338470.0,9618.0,14322764.0
