Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities,Year
Talari Ramulu,BSP,0,12th Pass,46,Nizamabad + Telangana,500000,0,2014
B.b.patil   Winner ,TRS,0,Graduate,58,Zahirabad + Telangana,1023173039,83517670,2014
Benjamin Raju,IND,0,Graduate Professional,43,Zahirabad + Telangana,1246959,0,2014
Dr. Suneel Kumar Venigalla,AAP,0,Graduate Professional,53,Zahirabad + Telangana,23467855,1730982,2014
K.madan Mohan Rao,TDP,0,Post Graduate,44,Zahirabad + Telangana,291223038,36884884,2014
Mahmood Mohiuddin,Yuvajana Sramika Rythu Congress Party, 1 ,8th Pass,44,Zahirabad + Telangana,40351658,11150000,2014
Marri Durgesh,RPI(A),0,Illiterate,30,Zahirabad + Telangana,144000,0,2014
Rama Rao,IND,0,Graduate,45,Zahirabad + Telangana,18025587,800000,2014
Sayyad Ferojoddin,BSP,0,12th Pass,46,Zahirabad + Telangana,50000,0,2014
Suresh Kumar Shetkar,INC,0,Graduate,51,Zahirabad + Telangana,29458057,324258,2014
Tandale Ambaji Rao,IND,0,5th Pass,45,Zahirabad + Telangana,1925935,35544,2014
Kalvakuntla Chandrashekar Rao   Winner ,TRS, 2 ,Graduate,60,Medak + Telangana,151582464,78753620,2014
Balaraju Mittapally,IND,0,5th Pass,38,Medak + Telangana,758000,0,2014
Bomma Balesham,IND,0,12th Pass,62,Medak + Telangana,5381475,0,2014
Dr.p. Sravan Kumar Reddy,INC,0,Graduate Professional,39,Medak + Telangana,150851000,0,2014
Gajabheemkar Bansilal,IND,0,10th Pass,54,Medak + Telangana,233000,0,2014
Gurujada Beeraiah,IND, 1 ,12th Pass,47,Medak + Telangana,6200000,0,2014
Iqbal Ali Zafar,Majlis Bachao Tahreek,0,Graduate Professional,50,Medak + Telangana,3330000,450000,2014
Kompally Prabhudas,RPI(A),0,10th Pass,48,Medak + Telangana,1901000,270000,2014
Kundeti Ravi,IND,0,Post Graduate,40,Medak + Telangana,1332000,0,2014
Meka Subba Rao,IND,0,Graduate,37,Medak + Telangana,710000,25000,2014
Narendranath Chaganla,BJP, 13 ,10th Pass,49,Medak + Telangana,1764805829,88204083,2014
Pullaiahgari Prbhu Goud,Yuvajana Sramika Rythu Congress Party,0,10th Pass,45,Medak + Telangana,5489000,800000,2014
Yerra Shankar Goud,BSP,0,Post Graduate,50,Medak + Telangana,1550000,0,2014
Ch.malla Reddy   Winner ,TDP,0,12th Pass,56,Malkajgiri + Telangana,488525332,6328146,2014
Anjaneyulu.e,IND,0,Graduate,28,Malkajgiri + Telangana,687000,400000,2014
B.veera Hanumantha Reddy,IND,0,Post Graduate,47,Malkajgiri + Telangana,42790000,4100000,2014
Bandi Sudhakar,Jai Samaikyandhra Party,0,12th Pass,39,Malkajgiri + Telangana,9271228,0,2014
D.bikshapathi,IND,0,12th Pass,40,Malkajgiri + Telangana,3221000,0,2014
Dasari Bharath Reddy,IND,0,Graduate Professional,28,Malkajgiri + Telangana,21000,0,2014
Divakar Dharanikota Sudhakar,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,28,Malkajgiri + Telangana,1106850,0,2014
Dr.jayaprakash Narayan N,Lok Satta Party,0,Doctorate,58,Malkajgiri + Telangana,62743517,2200000,2014
Dr.n.v.sudha Kiran,AAP,0,Graduate Professional,48,Malkajgiri + Telangana,29100000,10000000,2014
Gajabinkar Bansilal,IND,0,12th Pass,54,Malkajgiri + Telangana,233000,0,2014
Hanumanth Rao Mynampally,TRS, 2 ,Graduate Professional,47,Malkajgiri + Telangana,74860123,9600000,2014
Jajula Bhaskar,Shramajeevi Party,0,Graduate,39,Malkajgiri + Telangana,2611000,0,2014
Kante Sayanna,IND,0,10th Pass,35,Malkajgiri + Telangana,1807000,0,2014
Karunakar R,BSP,0,Post Graduate,48,Malkajgiri + Telangana,988500,92000,2014
Koyalkar Bhoj Raj,IND,0,8th Pass,39,Malkajgiri + Telangana,0,0,2014
M.nageswara Rao,IND,0,Post Graduate,72,Malkajgiri + Telangana,6469266,0,2014
M.t.varughese,IND,0,8th Pass,67,Malkajgiri + Telangana,11230422,303440,2014
Murari.t.n,SHS,0,Graduate,40,Malkajgiri + Telangana,8647342,1050000,2014
Paduri Srinivas Reddy,Telangana Loksatta Party,0,Post Graduate,43,Malkajgiri + Telangana,56066969,85000,2014
Peesari Satish Reddy,IND,0,Post Graduate,27,Malkajgiri + Telangana,443200,0,2014
Polisetty Krishna Rao,IND,0,Graduate,55,Malkajgiri + Telangana,26410000,6300000,2014
Potturi Tulasi Das,IND,0,5th Pass,62,Malkajgiri + Telangana,670340,0,2014
Prof. K.nageshwar,IND,0,Doctorate,50,Malkajgiri + Telangana,17997551,3746000,2014
Rahul Pandit,IND,0,Graduate,37,Malkajgiri + Telangana,25181037,5850000,2014
Sarvey Sathyanarayana,INC, 2 ,Graduate Professional,60,Malkajgiri + Telangana,32275736,4195312,2014
Sathyanarayana Yaadav Peddiboyina,B.C.Bharata Desam Party,0,5th Pass,54,Malkajgiri + Telangana,66697499,1133132,2014
Sutharapu Padmaiah,Andhra Pradesh Rashtra Samaikya Samithi Party,0,Graduate,61,Malkajgiri + Telangana,5359000,0,2014
V.dinesh Reddy,Yuvajana Sramika Rythu Congress Party,0,Graduate,60,Malkajgiri + Telangana,100729500,0,2014
Vattikuti Ramarao Goud,IND, 5 ,Doctorate,37,Malkajgiri + Telangana,630000,0,2014
Venkat Reddy Surakanti,Pyramid Party of India,0,Graduate Professional,50,Malkajgiri + Telangana,2155818,0,2014
Bandaru Dattatreya   Winner ,BJP, 3 ,Graduate,66,Secunderabad + Telangana,98255148,405469,2014
Abdus Sattar Mujahed,Akhil Bharatiya Muslim League (Secular), 1 ,Graduate,48,Secunderabad + Telangana,1785000,0,2014
Ananth Rao Gundepally,IND,0,Post Graduate,43,Secunderabad + Telangana,1750000,400000,2014
Avula Ranganayakulu,IND,0,Graduate,60,Secunderabad + Telangana,15485000,0,2014
B Subramanyam,IND, 1 ,Graduate,61,Secunderabad + Telangana,9370500,6370000,2014
Ch. Murahari,SUCI(C),0,Post Graduate,55,Secunderabad + Telangana,2544964,0,2014
Chaya Ratan Musinipally,AAP,0,Post Graduate,61,Secunderabad + Telangana,22724510,0,2014
Deepak Kumar.b,Republican Party of India (Khobragade),0,Graduate,38,Secunderabad + Telangana,201781,0,2014
Dr.n.s.uday Kumar,Prem Janata Dal,0,Doctorate,53,Secunderabad + Telangana,6750000,0,2014
J.ramulu,RSP,0,Post Graduate,39,Secunderabad + Telangana,404000,0,2014
K. Srinivasulu,Jai Samaikyandhra Party,0,Post Graduate,42,Secunderabad + Telangana,2680000,2800000,2014
K.sai Krishna Mohan Rao,Indian Christian Secular Party,0,Post Graduate,53,Secunderabad + Telangana,3227500,258000,2014
Karankote Narender,AIFB,0,10th Pass,52,Secunderabad + Telangana,2005000,0,2014
Khaja Khalid Anwar,BSP, 2 ,Literate,47,Secunderabad + Telangana,50000,0,2014
Klhaja Sirajuddin,Majlis Markaz-e-Siyasee Party,0,Post Graduate,49,Secunderabad + Telangana,2000000,0,2014
Kumar Chowdary Yadav,Samaikyandhra Parirakshana Samithi,0,8th Pass,55,Secunderabad + Telangana,13312000,70000,2014
M.anjan Kumar Yadav,INC,0,Graduate,53,Secunderabad + Telangana,18630800,2835000,2014
Malathi Latha Eppa,Jantantra Party,0,Post Graduate,29,Secunderabad + Telangana,4227860,2423000,2014
Michael Daniel Ovelz,IND,0,Graduate,41,Secunderabad + Telangana,0,0,2014
Mohammed Rizwan Hussain,IND,0,10th Pass,32,Secunderabad + Telangana,154500,0,2014
Mohd Abubakar Parwaiz Siddiqui,IND,0,12th Pass,38,Secunderabad + Telangana,1015000,0,2014
Mohd Imtiaz Hussain,IUML,0,Post Graduate,35,Secunderabad + Telangana,4650000,0,2014
Narla Mohan Rao,All India Majlis-E-Ittehadul Muslimeen,0,10th Pass,47,Secunderabad + Telangana,15073000,0,2014
Raghu Deshaboina,Bahujan Mukti Party,0,Doctorate,45,Secunderabad + Telangana,5756920,274890,2014
S. Lakshman Rao,IND,0,Graduate Professional,50,Secunderabad + Telangana,424203,0,2014
Sakthi Satyavathi,Pyramid Party of India,0,10th Pass,49,Secunderabad + Telangana,71000,0,2014
Sonu Sarsal Valmiki,Telangana Communist Party of India,0,5th Pass,28,Secunderabad + Telangana,330184,0,2014
Syed Madani Quadri,IND,0,12th Pass,53,Secunderabad + Telangana,50000,0,2014
Syed Sajid Ali,Yuvajana Sramika Rythu Congress Party, 1 ,Graduate Professional,44,Secunderabad + Telangana,3671549,0,2014
T.bheemsen,TRS,0,Graduate Professional,65,Secunderabad + Telangana,36454841,6000000,2014
Asaduddin Owaisi   Winner ,All India Majlis-E-Ittehadul Muslimeen, 4 ,Graduate Professional,43,Hyderabad + Telangana,40611099,14000000,2014
Binghi Rajashekar,Pyramid Party of India,0,10th Pass,38,Hyderabad + Telangana,490000,200000,2014
Boddu Sainath Reddy,Yuvajana Sramika Rythu Congress Party,0,10th Pass,36,Hyderabad + Telangana,5031000,0,2014
Dr.bhagavanth Rao,BJP,0,Graduate Professional,61,Hyderabad + Telangana,4274998,0,2014
Jaya Vindhyala,Socialist Party (India),0,Post Graduate,49,Hyderabad + Telangana,1850000,500000,2014
Lubna Sarwath,AAP,0,Doctorate,49,Hyderabad + Telangana,65500,0,2014
M A Habeeb,IND, 1 ,10th Pass,37,Hyderabad + Telangana,141000,0,2014
Md Osman,IND, 2 ,5th Pass,52,Hyderabad + Telangana,977524,0,2014
N.mahender Singh,Nava Bharat National Party, 1 ,12th Pass,49,Hyderabad + Telangana,5300000,2000000,2014
Rashid Shareef,TRS,0,8th Pass,53,Hyderabad + Telangana,9901000,0,2014
S Krishna Reddy,INC,0,Graduate,51,Hyderabad + Telangana,25397000,369391,2014
S.khaja Moinuddin,All India Azad Congress Party,0,Graduate,45,Hyderabad + Telangana,3020000,150000,2014
Shaik Moin,IND,0,Literate,46,Hyderabad + Telangana,40000,0,2014
Syed Abdul Gaffer,IND,0,12th Pass,56,Hyderabad + Telangana,109250,0,2014
Syed Mustafa Mahmood,Majlis Bachao Tahreek,0,12th Pass,45,Hyderabad + Telangana,400000,0,2014
Venu Gopal.p,BSP,0,Post Graduate,30,Hyderabad + Telangana,50000,0,2014
Konda Vishweshwar Reddy   Winner ,TRS,0,Post Graduate,54,Chevella + Telangana,5286230210,74111133,2014
Chan Pasha,Akhil Bharatiya Muslim League (Secular), 1 ,Illiterate,37,Chevella + Telangana,2100000,0,2014
Dr Punukuri Sadhu Satyanadhan,Indian Christian Secular Party, 1 ,Graduate Professional,61,Chevella + Telangana,13623818,700000,2014
Dr.golla Ramaiah,Telangana Loksatta Party,0,Doctorate,73,Chevella + Telangana,141800,0,2014
G.mallesham Goud,IND,0,Post Graduate,38,Chevella + Telangana,14600000,5600000,2014
Konda Raghava Reddy,Yuvajana Sramika Rythu Congress Party,0,Graduate,54,Chevella + Telangana,16905000,2500000,2014
Kummari Giri,Pyramid Party of India,0,10th Pass,33,Chevella + Telangana,290000,0,2014
Md Yunus Miya,Marxist Communist Party of India (United),0,Illiterate,70,Chevella + Telangana,537000,0,2014
Patolla Kartik Reddy,INC,0,Graduate Professional,34,Chevella + Telangana,37137244,0,2014
Regatte Venkat Reddy,AAP,0,Others,54,Chevella + Telangana,30648743,1700000,2014
Samala Ravinder,BSP,0,Post Graduate,46,Chevella + Telangana,1400000,600000,2014
Sanike Ram Gopal Yadav,IND,0,10th Pass,47,Chevella + Telangana,2115500,494000,2014
Sutharapu Padmaiah,Andhra Pradesh Rashtra Samaikya Samithi Party,0,Graduate,61,Chevella + Telangana,5359000,0,2014
Syed Hashmathullah Quadri,IUML,0,10th Pass,45,Chevella + Telangana,42927651,1030000,2014
Tulla Veerender,TDP,0,Post Graduate,31,Chevella + Telangana,623975606,132516000,2014
A P Jithender Reddy   Winner ,TRS, 4 ,Graduate,60,Mahbubnagar + Telangana,140831576,1386969,2014
Dr A Chandra Sekhar,IND,0,Post Graduate,45,Mahbubnagar + Telangana,7600000,500000,2014
Dr. Janardhan Reddy Nagam,BJP, 8 ,Graduate Professional,65,Mahbubnagar + Telangana,46883202,0,2014
H.a. Rahman,Yuvajana Sramika Rythu Congress Party, 3 ,Graduate,44,Mahbubnagar + Telangana,45000,0,2014
Ibrahim Syed	,IND, 7 ,12th Pass,44,Mahbubnagar + Telangana,310625000,56406000,2014
Jaipal Reddy Sudini,INC,0,Post Graduate,72,Mahbubnagar + Telangana,99602120,4600000,2014
Kadire Krishna,BSP,0,Doctorate,37,Mahbubnagar + Telangana,390000,100000,2014
S. Shiva Shankar,IND,0,Post Graduate,45,Mahbubnagar + Telangana,1214200,0,2014
S.r.premaiah,Pyramid Party of India,0,12th Pass,60,Mahbubnagar + Telangana,611000,0,2014
Nandi Yellaiah   Winner ,INC,0,12th Pass,71,Nagarkurnool + Telangana,7048969,0,2014
Bahaddur Srinivasulu,BSP,0,Post Graduate,39,Nagarkurnool + Telangana,11505000,1500000,2014
Bakkani Narsimlu,TDP,0,10th Pass,64,Nagarkurnool + Telangana,468000,0,2014
Buddula Srinivasulu,IND,0,10th Pass,0,Nagarkurnool + Telangana,460000,0,2014
Dr.manda Jagannath,TRS,0,Post Graduate,63,Nagarkurnool + Telangana,68881380,4287202,2014
Maredu Gopal,Yuvajana Sramika Rythu Congress Party,0,Graduate,63,Nagarkurnool + Telangana,5455000,950000,2014
Gutha Sukhender Reddy   Winner ,INC, 1 ,12th Pass,60,Nalgonda + Telangana,85907866,10103677,2014
Dr. Palla Rajeshwar Reddy,TRS,0,Doctorate,50,Nalgonda + Telangana,178513297,25121804,2014
Gunnam Nagi Reddy,Yuvajana Sramika Rythu Congress Party,0,Graduate,64,Nalgonda + Telangana,8861773,0,2014
Kundarapu Ramesh,BSP,0,5th Pass,46,Nalgonda + Telangana,311578,0,2014
Manupuri Daya Sagar,Pyramid Party of India,0,Graduate,38,Nalgonda + Telangana,1189058,0,2014
Marri Nehemiah,IND,0,12th Pass,60,Nalgonda + Telangana,564168,0,2014
Nandyala Narsimha Reddy,CPI(M),0,Graduate,58,Nalgonda + Telangana,7948560,0,2014
Tejavath Bellaiah Naik,AAP,0,Graduate Professional,42,Nalgonda + Telangana,8320000,500000,2014
Tera Chinnapa Reddy,TDP, 5 ,Doctorate,50,Nalgonda + Telangana,1269815389,34399714,2014
Dr. Narsaiah Boora   Winner ,TRS,0,Post Graduate,55,Bhongir + Telangana,202983225,13574088,2014
Arvapally Ambati,BSP,0,10th Pass,34,Bhongir + Telangana,100000,0,2014
Boilla Narender,RPI,0,10th Pass,32,Bhongir + Telangana,27700,0,2014
Cherupally Seetharamulu,CPI(M),0,10th Pass,60,Bhongir + Telangana,7692700,0,2014
Guahati Motilal,All India Majlis-E-Ittehadul Muslimeen, 2 ,Literate,45,Bhongir + Telangana,7493876,0,2014
Guduru Janardhan Reddy,Jai Samaikyandhra Party,0,10th Pass,41,Bhongir + Telangana,2223000,1550000,2014
Kapilavai Dileep Kumar,RLD,0,Post Graduate,60,Bhongir + Telangana,49896406,0,2014
Komatireddy Rajgopal Reddy,INC,0,Graduate,46,Bhongir + Telangana,667095133,6813472,2014
N. Indrasena Reddy,BJP,0,Post Graduate,64,Bhongir + Telangana,138815590,5055000,2014
Nagula Srinivas Yadav,Mahajana Socialist Party, 1 ,Graduate Professional,44,Bhongir + Telangana,8043000,650000,2014
Navulla Mallareddy,IND,0,Post Graduate,42,Bhongir + Telangana,1485500,45000,2014
Ravulapally Kondal Rao,Pyramid Party of India,0,Post Graduate,62,Bhongir + Telangana,3480000,0,2014
Varikuppala Krishna,IND, 1 ,8th Pass,45,Bhongir + Telangana,11976000,2400000,2014
Kadiyam Srihari   Winner ,TRS, 6 ,Post Graduate,63,Warangal + Telangana,13495000,0,2014
Chiluveru Prathap,IND,0,8th Pass,40,Warangal + Telangana,0,0,2014
Chintha Swamy,AAP,0,Graduate,44,Warangal + Telangana,3730000,2000000,2014
Gannarapu Surender,BSP,0,Post Graduate,49,Warangal + Telangana,9110000,3000000,2014
Jannu Mahendar,IND,0,Post Graduate,33,Warangal + Telangana,101000,0,2014
Kanakam Ramesh,IND,0,Post Graduate,34,Warangal + Telangana,207100,0,2014
Parameshwar Ramagalla,BJP, 5 ,Graduate Professional,55,Warangal + Telangana,9280000,308203,2014
Rajaiah Siricilla,INC, 4 ,Graduate,61,Warangal + Telangana,35362961,600000,2014
Thuppari Narasimha Swamy,Pyramid Party of India,0,10th Pass,44,Warangal + Telangana,457300,0,2014
Venkanna Kannam,Marxist Communist Party of India (United),0,12th Pass,36,Warangal + Telangana,801000,100000,2014
Venkanna Neerudu,Bahujan Mukti Party,0,Post Graduate,38,Warangal + Telangana,4005000,13700000,2014
Venu Esampelly,AIFB,0,10th Pass,37,Warangal + Telangana,12500,0,2014
Prof. Azmeera Seetaram Naik   Winner ,TRS,0,Doctorate,56,Mahabubabad + Telangana,8008000,4100000,2014
Balunayak Bhukya,IND,0,Graduate Professional,34,Mahabubabad + Telangana,265000,0,2014
Banoth Mohanlal,TDP,0,Post Graduate,49,Mahabubabad + Telangana,40179000,0,2014
Boda Raasi,BSP,0,12th Pass,29,Mahabubabad + Telangana,1950000,400000,2014
Datla Nageshwar Rao,IND,0,Graduate,48,Mahabubabad + Telangana,1650000,400000,2014
Eesam Sudhakar,IND,0,Graduate,29,Mahabubabad + Telangana,0,0,2014
Gugulotu Jagan,Marxist Communist Party of India (United),0,8th Pass,37,Mahabubabad + Telangana,685000,400000,2014
Kavitha Rani Lunavath,Pyramid Party of India,0,10th Pass,35,Mahabubabad + Telangana,4400000,800000,2014
Laxman Bukya,IND,0,5th Pass,44,Mahabubabad + Telangana,2360000,0,2014
Laxminarayana Borra,IND,0,5th Pass,38,Mahabubabad + Telangana,10000,0,2014
Metla Papaiah,IND,0,Graduate Professional,62,Mahabubabad + Telangana,4470000,0,2014
P. Balram,INC, 1 ,Post Graduate,49,Mahabubabad + Telangana,737144941,8472086,2014
Padiga Yarraiah,IND,0,5th Pass,69,Mahabubabad + Telangana,480000,0,2014
Payam Chandhar Rao (chinna Chandhranna)	,IND, 1 ,Literate,53,Mahabubabad + Telangana,80000,0,2014
Ponaka Sammakka,IND,0,Graduate,36,Mahabubabad + Telangana,6000,0,2014
Tellam Venkata Rao,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,46,Mahabubabad + Telangana,7087000,2100000,2014
V. Gouri Nagamani,IND,0,10th Pass,43,Mahabubabad + Telangana,4958000,2000000,2014
Ponguleti Srinivasa Reddy   Winner ,Yuvajana Sramika Rythu Congress Party,0,12th Pass,48,Khammam + Telangana,346150516,1240000,2014
Bachala Laxmaiah,IND,0,Illiterate,0,Khammam + Telangana,425000,0,2014
Banoth Laxma Naik,IND,0,12th Pass,57,Khammam + Telangana,4782000,0,2014
Bhaskar Kaki,IND,0,Graduate,43,Khammam + Telangana,2360000,0,2014
Budan Baig Shaik,TRS, 1 ,Graduate,53,Khammam + Telangana,13210000,200000,2014
Busireddy Shankar Reddy,IND,0,12th Pass,53,Khammam + Telangana,32525000,100000,2014
Dodda Ram Babu,BSP,0,Literate,48,Khammam + Telangana,2700000,750000,2014
Gokinepalli Venkateswara Rao,IND, 2 ,5th Pass,56,Khammam + Telangana,370000,0,2014
Gugulothu Ranjith Kumar,IND,0,Literate,30,Khammam + Telangana,270000,0,2014
Gugulothu Sarvan,IND,0,Literate,29,Khammam + Telangana,270000,0,2014
Jerripothula Srinivas,IND,0,10th Pass,38,Khammam + Telangana,170000,0,2014
Kalthi Ramulamma,IND,0,5th Pass,40,Khammam + Telangana,160000,0,2014
Kalthi Venkateswarlu,IND,0,Others,45,Khammam + Telangana,50000,0,2014
Kanakama Tirumala Rao,IND,0,Graduate,25,Khammam + Telangana,20000,0,2014
Kandula Ramu,IND,0,Others,25,Khammam + Telangana,20000,0,2014
Kankanala Narayana,CPI, 1 ,Post Graduate,66,Khammam + Telangana,16910510,100000,2014
Kishan Nayak Banoth,IND,0,10th Pass,33,Khammam + Telangana,50000,0,2014
Kommu Ramesh,IND,0,Post Graduate,42,Khammam + Telangana,50000,0,2014
Lingala Ravi Kumar,IND,0,10th Pass,38,Khammam + Telangana,650000,0,2014
Marikanti Vasudasu,IND,0,12th Pass,69,Khammam + Telangana,4000000,150000,2014
Medarametla Rama Rao,Pyramid Party of India,0,12th Pass,48,Khammam + Telangana,680000,0,2014
Mokalla Ramesh,IND,0,Illiterate,40,Khammam + Telangana,50000,0,2014
Mudige Nageswara Rao,IND,0,Not Given,44,Khammam + Telangana,50000,0,2014
Nagarjuna Cherukuru,Jai Samaikyandhra Party,0,12th Pass,44,Khammam + Telangana,7780000,450000,2014
Nagireddy Raji Reddy,IND,0,12th Pass,38,Khammam + Telangana,1071000,0,2014
Nama Nageswara Rao,TDP, 1 ,12th Pass,56,Khammam + Telangana,3382293440,269489166,2014
Sanapa Pommaiah,IND,0,Not Given,50,Khammam + Telangana,50000,0,2014
Kothapalli Geetha   Winner ,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,43,Araku + Andhra Pradesh,65147467,43261606,2014
Biddika Ramayya,IND,0,Literate,52,Araku + Andhra Pradesh,15500,15000,2014
Boorjabariki Dhanaraju,AAP,0,Graduate,33,Araku + Andhra Pradesh,52000,0,2014
Gummidi Sandhya Rani,TDP,0,Graduate,41,Araku + Andhra Pradesh,2587354,0,2014
Illa Ramireddy,IND,0,5th Pass,60,Araku + Andhra Pradesh,310000,0,2014
Kangala Baludora,IND,0,5th Pass,59,Araku + Andhra Pradesh,650000,0,2014
Kishore Chandra Suryanarayana Deo Vyricherla,INC,0,Post Graduate,67,Araku + Andhra Pradesh,41503500,0,2014
Midiyam Baburao,CPI(M),0,Graduate Professional,63,Araku + Andhra Pradesh,2230750,0,2014
Sallangi Ratnam,IND,0,Graduate,35,Araku + Andhra Pradesh,1485000,0,2014
Sankara Rao Chetti,IND,0,Post Graduate,33,Araku + Andhra Pradesh,40150,0,2014
