,company_name,job_title,min_experience,avg_salary,min_salary,max_salary,num_of_salaries
103,Caterpillar Inc,Data Scientist,2,12.8L,7.7L,18.0L,21
104,ICICI Bank,Data Scientist,0,11.9L,5.0L,20.0L,21
105,Freelance Consultants,Data Scientist,1,10.2L,3.2L,24.0L,21
106,Sutherland Global Services,Data Scientist,1,8.5L,5.1L,12.3L,21
107,Prodapt Solutions,Data Scientist,1,6.9L,3.3L,16.0L,21
108,Rubixe,Data Scientist,0,4.7L,2.4L,9.0L,21
109,NDS InfoServ,Data Scientist,0,9.1L,5.0L,12.0L,20
110,Zensar Technologies,Data Scientist,1,8.2L,4.2L,15.5L,20
111,Fidelity National Information Services,Data Scientist,3,10.9L,7.3L,18.6L,20
112,KPIT Technologies,Data Scientist,1,7.7L,4.5L,15.0L,20
113,Citibank,Data Scientist,2,17.3L,10.0L,24.2L,20
114,ValueLabs,Data Scientist,2,14.6L,7.0L,22.5L,20
115,ABB Group,Data Scientist,2,13.0L,8.3L,19.0L,20
116,L&T Financial Services,Data Scientist,1,9.3L,8.2L,12.5L,20
117,Value c Consulting India,Data Scientist,2,5.2L,4.2L,6.0L,20
118,Lumiq.ai,Data Scientist,0,8.3L,6.0L,13.0L,20
119,Flip Robo Technologies,Data Scientist,1,4.7L,3.0L,7.9L,20
120,Philips,Data Scientist,3,17.9L,11.2L,30.0L,19
121,Nokia,Data Scientist,2,13.0L,6.2L,24.0L,19
122,Confidential,Data Scientist,1,8.5L,4.1L,18.5L,19
123,Tata Technologies,Data Scientist,0,6.6L,4.8L,9.2L,19
124,Nielsen,Data Scientist,1,7.0L,6.0L,10.0L,19
125,Kantar,Data Scientist,3,11.5L,6.4L,18.0L,19
126,Persistent Systems,Data Scientist,2,10.5L,5.8L,17.0L,19
127,Exl India,Data Scientist,1,14.0L,10.0L,18.0L,19
128,Blue Yonder,Data Scientist,3,20.6L,15.1L,26.0L,19
129,Brane Enterprises,Data Scientist,1,14.0L,8.0L,22.5L,19
130,Micron Technology,Data Scientist,0,16.4L,11.4L,25.0L,19
131,Indegene,Data Scientist,0,9.6L,8.0L,14.5L,18
132,CARS24.com,Data Scientist,1,20.3L,14.5L,24.0L,18
133,GlobalLogic,Data Scientist,2,14.6L,4.0L,26.0L,18
134,Maersk,Data Scientist,4,20.9L,14.0L,31.0L,18
135,Barclays,Data Scientist,2,18.2L,13.6L,25.0L,18
136,Indium Software,Data Scientist,1,7.9L,5.0L,12.0L,18
137,Celebal Technologies,Data Scientist,0,8.6L,5.7L,13.0L,18
138,Affine Analytics,Data Scientist,1,9.7L,6.3L,18.0L,18
139,Fidelity Investment,Data Scientist,3,23.4L,13.8L,36.0L,18
140,Jio Platforms,Data Scientist,2,13.9L,7.0L,23.0L,18
141,Happiest Minds Technologies,Data Scientist,1,8.7L,5.2L,14.0L,17
142,Adobe,Data Scientist,3,29.4L,20.0L,44.0L,17
143,CitiusTech,Data Scientist,2,10.4L,5.8L,17.5L,17
144,Scienaptic Systems,Data Scientist,0,14.6L,8.0L,19.0L,17
145,Boeing,Data Scientist,1,19.4L,13.5L,35.0L,17
146,Citigroup,Data Scientist,1,18.4L,13.5L,27.5L,17
147,Marlabs,Data Scientist,0,9.3L,5.5L,20.6L,16
148,TransOrg Analytics,Data Scientist,1,9.4L,7.0L,13.5L,16
149,T-Systems,Data Scientist,3,14.1L,7.8L,24.0L,16
150,Sopra Steria,Data Scientist,3,12.1L,8.0L,19.7L,16
151,Apexon,Data Scientist,2,7.5L,4.9L,10.8L,16
152,Embibe,Data Scientist,0,16.6L,12.0L,21.0L,16
153,Quest Global,Data Scientist,2,6.7L,4.8L,8.5L,16
154,Harman Connected Services,Data Scientist,3,13.6L,7.0L,26.5L,16
155,Exxon Mobil,Data Scientist,2,23.2L,14.0L,30.1L,16
156,Ugam Solution,Data Scientist,0,9.8L,5.0L,15.0L,16
157,L&T Technology Services,Data Scientist,1,8.7L,4.3L,18.0L,16
158,Credit Suisse,Data Scientist,2,17.4L,11.0L,26.0L,16
159,Iris Software,Data Scientist,5,18.5L,11.5L,25.8L,16
160,Delhivery,Data Scientist,1,15.6L,10.0L,20.8L,16
161,Abzooba India Infotech,Data Scientist,1,15.0L,8.5L,20.1L,16
162,Sonata Software,Data Scientist,1,8.1L,4.8L,12.0L,15
163,Incedo,Data Scientist,1,12.2L,7.0L,20.0L,15
164,Go-Jek,Data Scientist,3,30.5L,16.5L,44.0L,15
165,GE,Data Scientist,2,14.3L,8.4L,24.0L,15
166,Fiserv,Data Scientist,3,12.1L,8.0L,17.0L,15
167,UBS,Data Scientist,2,15.2L,10.2L,22.0L,15
168,Quantiphi Analytics Solutions,Data Scientist,0,9.8L,7.0L,16.0L,15
169,Amdocs,Data Scientist,2,8.5L,6.0L,12.0L,15
170,Apple,Data Scientist,2,33.6L,8.2L,74.5L,15
171,Oyo Rooms,Data Scientist,0,14.7L,10.0L,20.5L,14
172,iOPEX Technologies,Data Scientist,1,7.9L,3.5L,12.0L,14
173,Yash Technologies,Data Scientist,2,11.2L,7.5L,16.0L,14
174,Franklin Templeton Investments,Data Scientist,3,27.7L,15.0L,45.0L,14
175,N+A,Data Scientist,0,8.6L,2.4L,15.0L,14
176,ICICI Lombard General Insurance Company,Data Scientist,0,12.1L,7.4L,15.4L,14
177,Reserve Bank Information Technology,Data Scientist,2,15.9L,8.0L,23.5L,14
178,o9 Solutions,Data Scientist,1,13.8L,11.0L,17.5L,14
179,HTC Global Services,Data Scientist,1,6.4L,3.6L,10.0L,13
180,Accolite Digital,Data Scientist,0,14.5L,6.0L,19.5L,13
181,Wipro Digital,Data Scientist,1,11.1L,7.0L,17.5L,13
182,CSS Corp,Data Scientist,0,10.2L,7.0L,14.5L,13
183,Morgan Stanley,Data Scientist,2,18.1L,10.5L,23.6L,13
184,Zee Entertainment Enterprises,Data Scientist,1,16.7L,13.2L,23.0L,13
185,Ola Cabs,Data Scientist,1,21.9L,13.0L,30.0L,13
186,NatWest Markets,Data Scientist,1,16.0L,11.0L,26.0L,13
187,Myntra,Data Scientist,2,16.9L,8.3L,33.0L,13
188,TCS,Business Analyst,2,6.9L,3.0L,12.0L,4200
189,Accenture,Business Analyst,1,7.0L,2.7L,14.7L,1900
190,Genpact,Business Analyst,1,6.4L,4.5L,9.0L,1700
191,Wipro,Business Analyst,2,8.6L,4.2L,15.5L,1200
192,Cognizant,Business Analyst,1,8.6L,4.5L,14.0L,1100
193,Deloitte,Business Analyst,1,7.8L,5.0L,12.0L,991
194,HCL Technologies,Business Analyst,1,6.6L,2.3L,14.2L,714
195,Evalueserve,Business Analyst,1,6.5L,4.7L,8.5L,693
196,Infosys,Business Analyst,1,8.9L,4.4L,16.5L,692
197,IBM,Business Analyst,2,8.3L,4.0L,16.0L,662
198,DXC Technology,Business Analyst,2,7.7L,4.1L,13.0L,580
199,Tech Mahindra,Business Analyst,2,7.6L,3.8L,15.0L,575
200,American Express,Business Analyst,1,8.3L,3.0L,19.0L,539
201,Capgemini,Business Analyst,2,9.1L,4.3L,15.0L,531
202,Societe Generale,Business Analyst,3,13.5L,7.6L,21.0L,514
203,EXL Service,Business Analyst,0,6.2L,4.5L,8.5L,476
204,Amazon,Business Analyst,2,11.3L,4.8L,20.0L,445
205,HSBC,Business Analyst,2,12.1L,5.0L,21.0L,382
206,ICICI Bank,Business Analyst,1,6.7L,4.0L,12.6L,326
207,JP Morgan Chase,Business Analyst,2,12.4L,5.7L,21.7L,323
208,Zomato,Business Analyst,1,10.7L,8.3L,12.0L,274
209,L&T Infotech,Business Analyst,2,9.7L,4.5L,16.6L,271
210,Shell,Business Analyst,4,19.5L,12.0L,30.0L,258
211,Barclays,Business Analyst,2,12.3L,5.5L,19.4L,255
212,Cgi Group,Business Analyst,2,6.9L,4.7L,11.0L,252
213,Oracle,Business Analyst,1,5.5L,3.4L,10.0L,243
214,Amdocs,Business Analyst,4,12.1L,6.8L,20.0L,236
215,Conduent,Business Analyst,2,6.1L,4.0L,9.4L,225
216,Fidelity National Information Services,Business Analyst,3,10.8L,5.8L,18.0L,214
217,HDFC Bank,Business Analyst,2,7.9L,4.1L,12.0L,208
218,Novo Nordisk,Business Analyst,4,11.5L,8.0L,15.2L,207
219,Axis Bank,Business Analyst,1,9.7L,4.2L,15.0L,199
220,Ernst & Young,Business Analyst,1,8.8L,4.0L,20.0L,198
221,Credit Suisse,Business Analyst,2,15.2L,10.0L,23.0L,179
222,Hewlett-Packard Enterprise,Business Analyst,2,6.7L,3.6L,11.5L,175
223,CG Foods,Business Analyst,0,4.8L,2.0L,10.0L,175
224,Quantiphi Analytics Solutions,Business Analyst,0,8.9L,6.5L,13.0L,167
225,NetCracker,Business Analyst,5,18.7L,12.0L,28.0L,159
226,Oyo Rooms,Business Analyst,0,10.2L,6.0L,14.0L,153
227,VMware Software,Business Analyst,3,9.8L,6.0L,15.0L,153
228,Mphasis,Business Analyst,1,10.0L,3.5L,19.0L,151
229,Exl India,Business Analyst,0,6.3L,4.5L,8.6L,147
230,Mindtree,Business Analyst,2,9.5L,5.5L,15.0L,144
231,Newgen Software Technologies,Business Analyst,2,9.3L,7.0L,11.5L,138
232,NTT DATA,Business Analyst,2,7.3L,4.5L,14.0L,133
233,Hexaware Technologies,Business Analyst,2,10.0L,4.2L,16.8L,131
234,Temenos,Business Analyst,2,8.8L,5.6L,12.2L,128
235,Wells Fargo India,Business Analyst,3,12.0L,6.2L,20.8L,128
236,Barclays Shared Services,Business Analyst,1,8.3L,3.8L,14.2L,127
237,Bridgei2i Analytics Solutions,Business Analyst,0,6.0L,5.0L,8.0L,124
238,Tata Technologies,Business Analyst,3,6.4L,4.3L,8.9L,119
239,Standard Chartered Bank,Business Analyst,2,12.0L,6.0L,20.0L,117
240,Mu Sigma,Business Analyst,1,6.9L,5.5L,9.0L,116
241,Virtusa Consulting Services,Business Analyst,2,10.6L,5.0L,18.5L,111
242,Allianz Technology,Business Analyst,3,8.2L,5.1L,12.0L,110
243,Kotak Mahindra Bank,Business Analyst,1,7.5L,3.0L,15.5L,106
244,Citicorp,Business Analyst,2,15.6L,7.8L,21.3L,106
245,BNP Paribas,Business Analyst,3,10.7L,6.7L,16.3L,105
246,UST,Business Analyst,3,11.1L,5.5L,17.5L,103
247,Flipkart,Business Analyst,1,12.3L,4.7L,18.9L,103
248,Barclays Global Service Centre,Business Analyst,1,11.7L,4.5L,21.6L,102
249,BNY Mellon,Business Analyst,3,8.5L,4.5L,17.5L,101
250,Optum,Business Analyst,2,8.6L,4.8L,17.1L,100
251,Ola Cabs,Business Analyst,0,11.3L,7.7L,15.0L,99
252,UBS,Business Analyst,2,14.5L,7.5L,23.5L,97
253,Odessa,Business Analyst,1,11.0L,8.4L,13.0L,96
254,bnp paribas india solutions,Business Analyst,3,10.2L,6.5L,15.0L,96
255,UnitedHealth,Business Analyst,2,8.3L,5.0L,13.0L,95
256,HCL Technologies BPO Services,Business Analyst,1,2.3L,1.6L,4.0L,95
257,Ramco Systems,Business Analyst,1,7.6L,4.5L,10.5L,94
258,Tredence,Business Analyst,0,6.9L,6.1L,8.5L,92
259,Novartis Healthcare,Business Analyst,1,10.0L,7.0L,14.2L,92
260,Atos Syntel,Business Analyst,2,7.6L,4.0L,13.0L,92
261,Cisco Systems,Business Analyst,2,12.5L,6.0L,20.5L,90
262,ITC Infotech India,Business Analyst,1,7.8L,4.5L,14.0L,90
263,Deutsche Bank,Business Analyst,2,9.1L,3.3L,19.0L,89
264,Dell,Business Analyst,2,7.0L,4.6L,10.2L,89
265,Paytm,Business Analyst,1,7.7L,3.9L,15.0L,89
266,3i Infotech,Business Analyst,1,6.1L,3.9L,8.8L,88
267,KPMG,Business Analyst,1,8.2L,3.6L,16.0L,87
268,Fiserv,Business Analyst,3,11.6L,7.0L,20.0L,86
269,Zensar Technologies,Business Analyst,2,6.7L,4.1L,14.5L,85
270,Legato Health Technologies,Business Analyst,3,8.0L,5.0L,14.0L,85
271,Swiggy,Business Analyst,1,13.2L,8.0L,16.5L,85
272,GEP Worldwide,Business Analyst,0,6.4L,5.0L,8.5L,84
273,Intellect Design Arena,Business Analyst,2,11.2L,5.8L,16.7L,83
274,Standard Chartered Global Business Services,Business Analyst,2,12.7L,5.6L,23.2L,81
275,ZS,Business Analyst,1,9.6L,7.0L,12.8L,80
276,Concentrix Corporation,Business Analyst,1,5.4L,2.8L,12.0L,80
277,Reliance jio,Business Analyst,1,6.8L,3.6L,15.0L,79
278,NatWest Group,Business Analyst,2,9.5L,3.5L,18.8L,79
279,IQVIA,Business Analyst,1,8.3L,4.5L,16.7L,78
280,PwC,Business Analyst,1,9.9L,4.5L,17.5L,77
281,ValueMomentum,Business Analyst,1,6.1L,3.8L,9.5L,75
282,ADP Solutions,Business Analyst,3,8.2L,5.3L,15.1L,74
283,Provana,Business Analyst,1,4.8L,3.5L,6.5L,73
284,ANR Software,Business Analyst,1,4.5L,3.1L,7.0L,71
285,WNS,Business Analyst,1,6.8L,3.8L,12.0L,69
286,Oracle Financial Services Software,Business Analyst,3,10.2L,5.6L,16.5L,69
287,RevGurus Info India,Business Analyst,0,8.3L,5.8L,11.0L,68
288,Sapiens,Business Analyst,2,12.5L,8.0L,16.7L,67
289,Etech Global Services,Business Analyst,1,6.4L,4.4L,8.4L,67
290,Citibank,Business Analyst,2,16.7L,8.0L,24.3L,66
291,Coforge,Business Analyst,5,16.1L,8.3L,24.0L,66
292,ABC,Business Analyst,3,13.6L,5.2L,25.0L,63
293,Merkle Sokrati,Business Analyst,0,4.5L,4.2L,5.0L,61
294,First Source,Business Analyst,1,4.4L,2.7L,7.0L,60
295,Meesho,Business Analyst,0,14.0L,8.5L,18.0L,60
296,Ebix Software India,Business Analyst,2,7.0L,4.5L,11.5L,60
297,Indus Valley Partners,Business Analyst,1,17.0L,14.0L,20.0L,60
298,Schlumberger,Business Analyst,3,14.5L,9.0L,21.0L,59
299,Capita,Business Analyst,1,5.9L,2.3L,13.0L,58
300,CRMnext,Business Analyst,1,6.6L,5.0L,8.0L,58
301,NeoSoft Technologies,Business Analyst,1,6.9L,3.1L,10.0L,57
302,NSE.IT,Business Analyst,1,6.8L,3.5L,12.5L,56
303,Nokia,Business Analyst,2,9.3L,5.5L,16.6L,56
304,Capco Technologies,Business Analyst,3,13.9L,6.0L,22.0L,56
305,eClerx,Business Analyst,1,3.7L,2.3L,9.3L,55
306,Affine Analytics,Business Analyst,0,6.8L,6.0L,8.3L,55
307,Exela Technologies,Business Analyst,3,8.3L,5.1L,12.0L,54
308,Analytics Quotient,Business Analyst,1,5.3L,4.0L,6.8L,53
309,NIIT Technologies,Business Analyst,3,11.1L,7.0L,17.8L,53
310,QualityKiosk Technologies,Business Analyst,2,7.7L,3.6L,13.0L,53
311,Fidelity Investment,Business Analyst,2,9.9L,6.8L,16.0L,53
312,Altisource,Business Analyst,2,5.5L,3.3L,9.0L,52
313,Polestar Solutions & Services India,Business Analyst,0,6.1L,4.2L,8.8L,52
314,Veeraraghavan & Company,Business Analyst,0,1.7L,1.2L,2.3L,52
315,Verizon,Business Analyst,3,10.5L,6.3L,16.3L,51
316,BYJU'S,Business Analyst,1,7.7L,4.0L,13.0L,51
317,Bank of America,Business Analyst,3,14.1L,8.1L,21.5L,51
318,Better.com,Business Analyst,1,7.8L,6.0L,11.2L,51
319,KJ System,Business Analyst,1,2.9L,2.4L,3.6L,50
320,ValueLabs,Business Analyst,4,11.3L,6.1L,18.5L,50
321,Xyz Company,Business Analyst,3,12.3L,4.4L,23.0L,50
322,IndusInd Bank,Business Analyst,2,8.0L,4.0L,14.3L,49
323,Vinculum Solutions,Business Analyst,1,8.8L,6.0L,13.0L,49
324,Confidential,Business Analyst,1,8.3L,4.2L,16.0L,49
325,Infosys BPM,Business Analyst,0,6.0L,2.5L,13.0L,49
326,General Mills,Business Analyst,2,9.7L,7.0L,12.0L,48
327,Yash Technologies,Business Analyst,4,8.9L,6.1L,12.3L,48
328,Shipco Transport,Business Analyst,1,3.4L,2.1L,5.0L,48
329,Aon,Business Analyst,2,5.4L,3.5L,9.6L,48
330,Persistent Systems,Business Analyst,4,12.5L,8.5L,18.4L,48
331,Unisys,Business Analyst,2,7.7L,4.0L,12.0L,48
332,Azentio,Business Analyst,0,7.1L,4.3L,11.0L,47
333,Synechron,Business Analyst,4,16.4L,9.9L,22.0L,46
334,Ford Motor,Business Analyst,2,8.1L,2.9L,14.0L,46
335,Birlasoft,Business Analyst,2,8.5L,4.5L,15.0L,45
336,Cybage,Business Analyst,5,14.6L,10.1L,20.0L,45
337,Lentra AI,Business Analyst,1,6.8L,4.1L,11.0L,45
338,N+A,Business Analyst,1,6.3L,2.5L,11.0L,44
339,IVY Comptech,Business Analyst,4,14.6L,8.5L,20.0L,44
340,S&P Global,Business Analyst,3,11.1L,7.5L,17.0L,44
341,Gartner,Business Analyst,1,14.2L,10.0L,19.0L,44
342,Acidaes Solutions,Business Analyst,2,7.0L,5.0L,10.0L,43
343,Udaan,Business Analyst,1,11.6L,4.8L,18.0L,43
344,Reliance Industries,Business Analyst,2,8.1L,4.9L,14.4L,43
345,Dell EMC,Business Analyst,2,6.6L,3.8L,10.1L,43
346,GlobalLogic,Business Analyst,2,9.0L,2.5L,20.0L,43
347,eClinicalWorks,Business Analyst,2,5.3L,3.8L,8.3L,43
348,ThoughtWorks,Business Analyst,2,14.7L,8.5L,26.0L,43
349,Landmark Group,Business Analyst,2,11.6L,7.5L,15.0L,43
350,Merilytics,Business Analyst,0,7.0L,5.5L,8.0L,42
351,Care Health Insurance,Business Analyst,0,5.9L,3.3L,8.4L,42
352,Epsilon,Business Analyst,2,9.7L,6.0L,16.5L,41
353,Gartner India Research and Advisory Services,Business Analyst,2,15.4L,10.0L,20.0L,41
354,Globant,Business Analyst,3,13.3L,9.0L,20.9L,41
355,Franklin Templeton Investments,Business Analyst,4,8.2L,4.7L,12.5L,40
356,Atidiv,Business Analyst,1,3.0L,2.2L,4.0L,40
357,Maersk,Business Analyst,4,8.9L,5.0L,16.0L,40
358,Pboplus Consulting Services,Business Analyst,0,4.0L,3.0L,5.2L,40
359,Reliance Retail,Business Analyst,1,7.0L,3.5L,13.0L,40
360,Larsen & Toubro Limited,Business Analyst,0,8.5L,3.8L,14.0L,40
361,TEKsystems,Business Analyst,3,12.0L,7.1L,18.5L,40
362,Hindustan Unilever,Business Analyst,2,7.1L,3.4L,10.7L,39
363,Tata Communications,Business Analyst,1,5.0L,2.9L,9.2L,39
364,Ameriprise Financial,Business Analyst,1,5.9L,3.9L,9.3L,39
365,Goldman Sachs,Business Analyst,0,14.9L,6.5L,30.0L,39
366,Factspan Analytics,Business Analyst,1,8.1L,6.5L,10.0L,39
367,MSC Technology India,Business Analyst,1,4.3L,2.9L,5.7L,39
368,Simplify Healthcare,Business Analyst,1,5.8L,4.0L,9.5L,39
369,CMS Computers Limited (INDIA),Business Analyst,1,4.0L,2.6L,6.0L,39
370,Fluentgrid,Business Analyst,2,5.5L,3.2L,8.8L,38
371,Bajaj Finserv,Business Analyst,1,9.0L,3.8L,13.0L,38
372,Ericsson,Business Analyst,3,9.7L,5.1L,16.0L,38
373,Sonata Software,Business Analyst,1,7.8L,5.0L,11.5L,37
374,CitiusTech,Business Analyst,2,9.0L,6.4L,12.1L,37
375,R1 RCM,Business Analyst,1,3.8L,2.7L,6.7L,37
376,TCS,Data Analyst,1,4.7L,2.4L,8.9L,1600
377,Cognizant,Data Analyst,1,5.5L,2.9L,8.3L,1200
378,Accenture,Data Analyst,1,5.2L,2.3L,11.0L,1100
379,Capgemini,Data Analyst,0,4.6L,3.0L,9.0L,485
380,Wipro,Data Analyst,1,4.8L,2.2L,9.0L,475
381,GlobalLogic,Data Analyst,1,2.5L,2.0L,3.5L,415
382,Tech Mahindra,Data Analyst,1,4.6L,2.2L,7.5L,397
383,Amazon,Data Analyst,1,5.2L,2.5L,15.3L,380
384,Infosys,Data Analyst,1,5.7L,3.4L,12.0L,323
385,HCL Technologies,Data Analyst,1,4.5L,2.4L,9.5L,320
386,eClerx,Data Analyst,0,2.5L,2.0L,3.9L,302
387,IBM,Data Analyst,2,7.6L,4.0L,15.5L,297
388,Ernst & Young,Data Analyst,1,5.8L,3.4L,10.5L,297
389,Flipkart,Data Analyst,1,5.9L,3.2L,12.0L,241
390,Genpact,Data Analyst,1,4.7L,2.5L,9.0L,228
391,Optum,Data Analyst,2,12.8L,6.0L,19.0L,219
392,Concentrix Corporation,Data Analyst,1,3.9L,2.4L,6.3L,209
