id,country,state,city,station,pollutant_id,last_update,pollutant_min,pollutant_max,pollutant_avg
97,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",NH3,"21-10-2021 01:00:00",3,4,4
98,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",SO2,"21-10-2021 01:00:00",1,6,3
99,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",CO,"21-10-2021 01:00:00",22,81,44
100,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",OZONE,"21-10-2021 01:00:00",5,61,27
101,India,Bihar,Patna,"Samanpura, Patna - BSPCB",PM2.5,"21-10-2021 01:00:00",61,166,107
102,India,Bihar,Patna,"Samanpura, Patna - BSPCB",PM10,"21-10-2021 01:00:00",41,114,94
103,India,Bihar,Patna,"Samanpura, Patna - BSPCB",NO2,"21-10-2021 01:00:00",4,16,13
104,India,Bihar,Patna,"Samanpura, Patna - BSPCB",NH3,"21-10-2021 01:00:00",4,28,5
105,India,Bihar,Patna,"Samanpura, Patna - BSPCB",SO2,"21-10-2021 01:00:00",2,13,6
106,India,Bihar,Patna,"Samanpura, Patna - BSPCB",CO,"21-10-2021 01:00:00",19,36,28
107,India,Bihar,Patna,"Samanpura, Patna - BSPCB",OZONE,"21-10-2021 01:00:00",5,68,32
108,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",PM2.5,"21-10-2021 01:00:00",87,260,138
109,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",PM10,"21-10-2021 01:00:00",95,173,120
110,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",NO2,"21-10-2021 01:00:00",26,134,58
111,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",NH3,"21-10-2021 01:00:00",4,7,5
112,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",SO2,"21-10-2021 01:00:00",7,35,15
113,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",CO,"21-10-2021 01:00:00",34,104,40
114,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",OZONE,"21-10-2021 01:00:00",11,219,200
115,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",PM2.5,"21-10-2021 01:00:00",51,86,66
116,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",PM10,"21-10-2021 01:00:00",78,125,99
117,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",NO2,"21-10-2021 01:00:00",6,86,26
118,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",NH3,"21-10-2021 01:00:00",8,23,12
119,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",SO2,"21-10-2021 01:00:00",2,11,6
120,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",CO,"21-10-2021 01:00:00",36,86,41
121,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",OZONE,"21-10-2021 01:00:00",3,67,22
122,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",PM2.5,"21-10-2021 01:00:00",31,162,61
123,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",PM10,"21-10-2021 01:00:00",43,121,78
124,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",NO2,"21-10-2021 01:00:00",15,20,17
125,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",SO2,"21-10-2021 01:00:00",9,15,12
126,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",CO,"21-10-2021 01:00:00",7,75,55
127,India,Delhi,Delhi,"Alipur, Delhi - DPCC",PM2.5,"21-10-2021 01:00:00",88,315,223
128,India,Delhi,Delhi,"Alipur, Delhi - DPCC",PM10,"21-10-2021 01:00:00",105,403,199
129,India,Delhi,Delhi,"Alipur, Delhi - DPCC",NO2,"21-10-2021 01:00:00",8,109,48
130,India,Delhi,Delhi,"Alipur, Delhi - DPCC",NH3,"21-10-2021 01:00:00",NA,NA,NA
131,India,Delhi,Delhi,"Alipur, Delhi - DPCC",SO2,"21-10-2021 01:00:00",6,15,9
132,India,Delhi,Delhi,"Alipur, Delhi - DPCC",CO,"21-10-2021 01:00:00",30,83,38
133,India,Delhi,Delhi,"Alipur, Delhi - DPCC",OZONE,"21-10-2021 01:00:00",2,69,19
134,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",PM2.5,"21-10-2021 01:00:00",113,344,235
135,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",PM10,"21-10-2021 01:00:00",NA,NA,NA
136,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",NO2,"21-10-2021 01:00:00",75,171,128
137,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",NH3,"21-10-2021 01:00:00",3,9,6
138,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",SO2,"21-10-2021 01:00:00",15,33,24
139,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",CO,"21-10-2021 01:00:00",NA,NA,NA
140,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",OZONE,"21-10-2021 01:00:00",4,47,15
141,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",PM2.5,"21-10-2021 01:00:00",85,233,139
142,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",PM10,"21-10-2021 01:00:00",129,281,190
143,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",NO2,"21-10-2021 01:00:00",10,51,30
144,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",NH3,"21-10-2021 01:00:00",3,5,4
145,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",SO2,"21-10-2021 01:00:00",12,38,25
146,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",CO,"21-10-2021 01:00:00",10,130,27
147,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",OZONE,"21-10-2021 01:00:00",8,147,44
148,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",PM2.5,"21-10-2021 01:00:00",60,274,136
149,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",PM10,"21-10-2021 01:00:00",111,206,148
150,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",NO2,"21-10-2021 01:00:00",16,45,28
151,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",CO,"21-10-2021 01:00:00",2,122,7
152,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",OZONE,"21-10-2021 01:00:00",15,25,20
153,India,Delhi,Delhi,"Bawana, Delhi - DPCC",PM2.5,"21-10-2021 01:00:00",83,348,240
154,India,Delhi,Delhi,"Bawana, Delhi - DPCC",PM10,"21-10-2021 01:00:00",133,423,205
155,India,Delhi,Delhi,"Bawana, Delhi - DPCC",NO2,"21-10-2021 01:00:00",3,71,23
156,India,Delhi,Delhi,"Bawana, Delhi - DPCC",NH3,"21-10-2021 01:00:00",5,6,5
157,India,Delhi,Delhi,"Bawana, Delhi - DPCC",SO2,"21-10-2021 01:00:00",4,16,5
158,India,Delhi,Delhi,"Bawana, Delhi - DPCC",CO,"21-10-2021 01:00:00",18,95,31
159,India,Delhi,Delhi,"Bawana, Delhi - DPCC",OZONE,"21-10-2021 01:00:00",3,62,19
160,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",PM2.5,"21-10-2021 01:00:00",54,321,177
161,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",PM10,"21-10-2021 01:00:00",104,237,152
162,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",NO2,"21-10-2021 01:00:00",21,33,26
163,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",CO,"21-10-2021 01:00:00",102,161,105
164,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",OZONE,"21-10-2021 01:00:00",15,36,18
165,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",PM2.5,"21-10-2021 01:00:00",43,247,137
166,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",PM10,"21-10-2021 01:00:00",111,408,220
167,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",NO2,"21-10-2021 01:00:00",4,84,15
168,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",NH3,"21-10-2021 01:00:00",7,8,8
169,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",SO2,"21-10-2021 01:00:00",6,22,11
170,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",CO,"21-10-2021 01:00:00",75,123,87
171,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",OZONE,"21-10-2021 01:00:00",1,32,11
172,India,Delhi,Delhi,"DTU, Delhi - CPCB",PM2.5,"21-10-2021 01:00:00",86,336,199
173,India,Delhi,Delhi,"DTU, Delhi - CPCB",PM10,"21-10-2021 01:00:00",113,261,164
174,India,Delhi,Delhi,"DTU, Delhi - CPCB",NO2,"21-10-2021 01:00:00",28,138,73
175,India,Delhi,Delhi,"DTU, Delhi - CPCB",NH3,"21-10-2021 01:00:00",10,35,19
176,India,Delhi,Delhi,"DTU, Delhi - CPCB",SO2,"21-10-2021 01:00:00",6,8,7
177,India,Delhi,Delhi,"DTU, Delhi - CPCB",CO,"21-10-2021 01:00:00",29,122,49
178,India,Delhi,Delhi,"DTU, Delhi - CPCB",OZONE,"21-10-2021 01:00:00",20,86,31
179,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",PM2.5,"21-10-2021 01:00:00",70,303,174
180,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",PM10,"21-10-2021 01:00:00",131,281,173
181,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",NO2,"21-10-2021 01:00:00",74,141,106
182,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",NH3,"21-10-2021 01:00:00",3,6,4
183,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",SO2,"21-10-2021 01:00:00",5,11,8
184,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",CO,"21-10-2021 01:00:00",22,119,32
185,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",OZONE,"21-10-2021 01:00:00",4,168,48
186,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",PM2.5,"21-10-2021 01:00:00",67,333,208
187,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",PM10,"21-10-2021 01:00:00",175,500,293
188,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",NO2,"21-10-2021 01:00:00",11,69,36
189,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",NH3,"21-10-2021 01:00:00",1,13,10
190,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",SO2,"21-10-2021 01:00:00",1,8,4
191,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",CO,"21-10-2021 01:00:00",5,124,41
192,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",OZONE,"21-10-2021 01:00:00",1,16,6
193,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",PM2.5,"21-10-2021 01:00:00",14,96,49
194,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",PM10,"21-10-2021 01:00:00",120,220,156
195,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",NO2,"21-10-2021 01:00:00",49,110,77
196,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",CO,"21-10-2021 01:00:00",90,108,105
197,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",OZONE,"21-10-2021 01:00:00",9,21,10
198,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",PM2.5,"21-10-2021 01:00:00",66,367,280
199,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",PM10,"21-10-2021 01:00:00",133,180,153
200,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",NO2,"21-10-2021 01:00:00",65,125,99
201,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",NH3,"21-10-2021 01:00:00",7,29,15
202,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",SO2,"21-10-2021 01:00:00",5,21,13
203,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",CO,"21-10-2021 01:00:00",22,110,84
204,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",OZONE,"21-10-2021 01:00:00",9,57,12
205,India,Delhi,Delhi,"ITO, Delhi - CPCB",PM2.5,"21-10-2021 01:00:00",68,304,159
206,India,Delhi,Delhi,"ITO, Delhi - CPCB",NO2,"21-10-2021 01:00:00",22,64,35
207,India,Delhi,Delhi,"ITO, Delhi - CPCB",NH3,"21-10-2021 01:00:00",7,9,8
208,India,Delhi,Delhi,"ITO, Delhi - CPCB",SO2,"21-10-2021 01:00:00",6,19,12
209,India,Delhi,Delhi,"ITO, Delhi - CPCB",CO,"21-10-2021 01:00:00",34,178,43
210,India,Delhi,Delhi,"ITO, Delhi - CPCB",OZONE,"21-10-2021 01:00:00",10,39,17
211,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",PM2.5,"21-10-2021 01:00:00",NA,NA,NA
212,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",PM10,"21-10-2021 01:00:00",NA,NA,NA
213,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",NH3,"21-10-2021 01:00:00",NA,NA,NA
214,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",CO,"21-10-2021 01:00:00",22,60,41
215,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",OZONE,"21-10-2021 01:00:00",3,21,11
216,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",PM2.5,"21-10-2021 01:00:00",73,315,173
217,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",PM10,"21-10-2021 01:00:00",127,213,160
218,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",NO2,"21-10-2021 01:00:00",31,120,72
219,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",NH3,"21-10-2021 01:00:00",4,6,5
220,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",SO2,"21-10-2021 01:00:00",1,23,10
221,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",CO,"21-10-2021 01:00:00",5,122,13
222,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",OZONE,"21-10-2021 01:00:00",8,9,8
223,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",PM2.5,"21-10-2021 01:00:00",82,223,157
224,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",PM10,"21-10-2021 01:00:00",71,137,109
225,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",NO2,"21-10-2021 01:00:00",30,107,68
226,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",NH3,"21-10-2021 01:00:00",10,23,15
227,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",SO2,"21-10-2021 01:00:00",3,3,4
228,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",CO,"21-10-2021 01:00:00",58,70,65
229,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",OZONE,"21-10-2021 01:00:00",15,22,17
230,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",PM2.5,"21-10-2021 01:00:00",70,304,153
